,Name,Medals
0,Mariya Vasilyevna Abakumova (-Tarabina),1
1,Gezahgne Abera,1
2,Elvan Abeylegesse,1
3,Valerie Kasanita Adams-Vili (-Price),3
4,Derrick Ralph Adkins,1
5,"Olabisi ""Bisi"" Afolabi",1
6,Mobolade Abimbola Ajomale,1
7,Chioma Ajunwa (-Opara),1
8,Morolake Akinosun,1
9,Hadi Soua'an Al-Somaily Jaadan,1
10,Virgilijus Alekna,3
11,Nia Sifaatihii Ali,1
12,Deji Aliu,1
13,Ade Franci Alleyne-Forte,1
14,Glory Alozie Oluchi,1
15,Nijel Carlos Amilfitano Amos,1
16,Andrea Arlene Anderson (-Bolder),1
17,Vladimir Vasilyevich Andreyev,1
18,Olena Anatolivna Antonova,1
19,Nataliya Nikolayevna Antyukh,4
20,Eref Apak,1
21,Hirooki Arai,1
22,Yuko Arimori (-Wilson),1
23,Aaron Nigel Armstrong,1
24,Dylan Armstrong,1
25,Christine Arron,1
26,Nobuharu Asahara,1
27,"Geraldina Rachel ""Dina"" Asher-Smith",1
28,Nickel Ashmeade,1
29,Sofia Assefa Abebe,1
30,Igor Vyacheslavovich Astapkovich,1
31,Musa Audu,1
32,Charles Allen Austin,1
33,Nduka Awazie,1
34,Almaz Ayana Eba,2
35,Sanjay Claude Ayre,1
36,Mehdi Abdelhafid Baala,1
37,Jaroslav Bba,1
38,Inha Alvidasivna Babakova (Butkus-),1
39,"Stephen James ""Steve"" Backley",2
40,Sunday Bada,1
41,Oleksandr Mykolaiovych Bahach,1
42,Aleen May Bailey,1
43,Donovan Bailey,2
44,Kemar Bailey-Cole,2
45,"Andretti ""Dretti"" Bain",1
46,Keshia Chantay Baker (-Kirtz),1
47,Niki Bakogianni,1
48,Stefano Baldini,1
49,"Eric Randolph ""Randy"" Barnes",1
50,Brigetta LaShea Barrett,1
51,"Jennifer Mae ""Jenny"" Barringer-Simpson",1
52,Yarelis Barrios Castaeda,1
53,Erick Bernab Barrondo Garca,1
54,Mutaz Essa Barshim,2
55,Dimitri David Bascou,1
56,"Jane Kimberley ""Kim"" Batten",1
57,"James Steven ""Jamie"" Baulch (Mills-)",1
58,James Charles Beckford,1
59,Violeta Beclea-Szekely,1
60,Ruth Beita Vila,1
61,Kenenisa Bekele Beyecha,4
62,Tariku Bekele Beyecha,1
63,Hasna Benhassi,2
64,Kajsa Margareta Bergqvist (-Herngren-),1
65,Nezha Bidouane,1
66,Michael Allen Oswald Bingham,1
67,Dane Alex Bird-Smith,1
68,Paul Ezekiel Bitok,1
69,Roger Anthony Black,2
70,Michael Blackwood,1
71,Dennis Anthony Blake,1
72,Yohan Blake,4
73,Keston Bledman,2
74,Wilson Boit Kipketer,1
75,Ato Jabari Boldon,4
76,Usain St. Leo Bolt,8
77,Bohdan Viktorovych Bondarenko,1
78,Valeriy Viktorovich Borchin,1
79,Olivia Borle,1
80,Yury Mikhaylovich Borzakovsky,1
81,Khalid Boulami,1
82,"Frentorish ""Tori"" Bowie",3
83,Thiago Braz da Silva,1
84,Grit Breuer (-Springstein),1
85,Derrick Keith Brew,2
86,"Kenneth L. ""Kenny"" Brokenburr",1
87,Aaron Brown,1
88,"Christopher Deon ""Chris"" Brown",4
89,Stephanie Karenmonica Brown-Trafton,1
90,Ivano Brugnetti,1
91,Roberta Brunet,1
92,Yelyzaveta Viktorivna Bryzhina,1
93,Tonja Yvette Buford-Bailey,1
94,Brigita Bukovec,1
95,Gamze Bulut,1
96,Wilfred Kipkemboi Bungei,1
97,Michelle Burgher,2
98,Daniil Sergeyevich Burkenya,1
99,Marc Burns,2
100,Frank Busemann,1
101,Denia Caballero Ponce,1
102,Fermn Cacho Ruiz,1
103,Cai Zelin,1
104,Asl akr (-Alptekin),1
105,Emmanuel Earl Callender,2
106,Schillonie Calvert,1
107,"Asuka Antonio ""Aska"" Cambridge",1
108,Ibrahim Camejo Savas,1
109,Darren Andrew Campbell,2
110,Veronica Angella Campbell-Brown,8
111,Christian Cantwell,1
112,Michelle Denee Carter,1
113,Nesta Carter,1
114,Kristi Castlin,1
115,"Matthew Gerald ""Matt"" Centrowitz, Jr.",1
116,Jolanda eplak (Steblovnik-),1
117,Jos ngel Csar Delgado,1
118,Carlton Chambers,1
119,Paul Kipkemboi Chelimo,1
120,Chen Ding,1
121,Joyce Chepchumba Koech,1
122,Yuliya Igorevna Chermoshanskaya,1
123,Tatyana Sergeyevna Chernova,2
124,Vivian Jepkemoi Cheruiyot,4
125,Anna Vladimirovna Chicherova,2
126,Eilidh Child-Doyle,1
127,Clement Chukwu,1
